adfas,adf,sdf,awe,rtea,teaf,erte,ert
1496203941.3807818890,1496203941.3831799030, -1.0920, -0.0793, -0.3608, -8.2397, -5.8289, -9.6893
1496203941.3832509518,1496203941.3856399059, -1.0920, -0.0793, -0.3608, -8.2397, -5.8289, -9.6893
1496203941.3857109547,1496203941.3881020546, -1.0920, -0.0793, -0.3608, -8.2397, -6.3782, -9.9335
1496203941.3881731033,1496203941.3905611038, -1.0920, -0.0793, -0.3608, -8.6975, -6.3782, -9.9335
1496203941.3906319141,1496203941.3929998875, -1.0920, -0.0793, -0.3608, -8.6975, -6.3782, -9.9335
1496203941.3930699825,1496203941.3954451084, -1.0920, -0.0645, -0.3306, -8.6975, -6.3782, -9.9335
1496203941.3955149651,1496203941.3979361057, -1.0938, -0.0645, -0.3306, -8.6975, -6.3782, -9.9335
1496203941.3980169296,1496203941.4004580975, -1.0938, -0.0645, -0.3306, -8.0109, -6.4240,-10.2081
1496203941.4005339146,1496203941.4029541016, -1.0938, -0.0645, -0.3306, -8.0109, -6.4240,-10.2081
1496203941.4030289650,1496203941.4056670666, -1.0938, -0.0645, -0.3306, -8.0109, -6.4240,-10.2081
1496203941.4057419300,1496203941.4081339836, -1.0938, -0.0645, -0.3306, -8.0109, -6.4240,-10.2081
1496203941.4082078934,1496203941.4107789993, -1.0938, -0.0645, -0.3306, -8.0109, -5.9662, -9.8877
1496203941.4108510017,1496203941.4132609367, -1.0938, -0.0645, -0.3306, -8.0109, -5.9662, -9.8877
1496203941.4134349823,1496203941.4158480167, -1.0994, -0.0737, -0.3679, -8.0109, -5.9662, -9.8877
1496203941.4159190655,1496203941.4183290005, -1.0994, -0.0737, -0.3679, -8.0109, -5.9662, -9.8877
1496203941.4184000492,1496203941.4207179546, -1.0994, -0.0737, -0.3679, -7.1106, -5.8136, -9.5520
1496203941.4207890034,1496203941.4230749607, -1.0994, -0.0737, -0.3679, -7.1106, -5.8136, -9.5520
1496203941.4231460094,1496203941.4254291058, -1.0994, -0.0737, -0.3679, -7.1106, -5.8136, -9.5520
1496203941.4254989624,1496203941.4277911186, -1.0994, -0.0737, -0.3679, -7.1106, -5.8136, -9.5520
1496203941.4278600216,1496203941.4302299023, -1.0994, -0.0737, -0.3679, -7.1106, -5.8136, -9.3689
1496203941.4303009510,1496203941.4327108860, -1.0994, -0.0737, -0.3679, -6.0730, -6.4240, -9.3689
1496203941.4327819347,1496203941.4351999760, -1.0994, -0.0737, -0.3743, -6.0730, -6.4240, -9.3689
1496203941.4352710247,1496203941.4376819134, -1.0938, -0.0989, -0.3743, -6.0730, -6.4240, -9.3689
1496203941.4377529621,1496203941.4401080608, -1.0938, -0.0989, -0.3743, -6.0730, -6.4240, -9.3689
1496203941.4401791096,1496203941.4424710274, -1.0938, -0.0989, -0.3743, -4.6997, -6.8054, -8.7891
1496203941.4425408840,1496203941.4448230267, -1.0938, -0.0989, -0.3743, -4.6997, -6.8054, -8.7891
1496203941.4448940754,1496203941.4471869469, -1.0938, -0.0989, -0.3743, -4.6997, -6.8054, -8.7891
1496203941.4472570419,1496203941.4495849609, -1.0938, -0.0989, -0.3743, -4.6997, -6.8054, -8.7891
1496203941.4496560097,1496203941.4519419670, -1.0938, -0.0989, -0.3743, -3.3112, -6.7139, -8.1635
1496203941.4520130157,1496203941.4543039799, -1.0938, -0.0989, -0.3743, -3.3112, -6.7139, -8.1635
1496203941.4543740749,1496203941.4566578865, -1.1006, -0.0774, -0.3455, -3.3112, -6.7139, -8.1635
1496203941.4567279816,1496203941.4591128826, -1.1006, -0.0774, -0.3455, -3.3112, -6.7139, -8.1635
1496203941.4591820240,1496203941.4614739418, -1.1006, -0.0774, -0.3455, -3.3112, -6.7139, -7.6447
1496203941.4615440369,1496203941.4638309479, -1.1006, -0.0774, -0.3455, -2.4109, -6.6223, -7.6447
1496203941.4639000893,1496203941.4661910534, -1.1006, -0.0774, -0.3455, -2.4109, -6.6223, -7.6447
1496203941.4662599564,1496203941.4685430527, -1.1006, -0.0774, -0.3455, -2.4109, -6.6223, -7.6447
1496203941.4686119556,1496203941.4710059166, -1.1006, -0.0774, -0.3455, -2.4109, -6.6223, -7.6447
1496203941.4710760117,1496203941.4733679295, -1.1006, -0.0774, -0.3455, -1.6937, -7.1106, -7.8583
1496203941.4734370708,1496203941.4757189751, -1.0986, -0.0840, -0.3372, -1.6937, -7.1106, -7.8583
1496203941.4757881165,1496203941.4780750275, -1.0986, -0.0840, -0.3372, -1.6937, -7.1106, -7.8583
1496203941.4781448841,1496203941.4805700779, -1.0986, -0.0840, -0.3372, -1.6937, -7.1106, -7.8583
1496203941.4806399345,1496203941.4830360413, -1.0986, -0.0840, -0.3372, -1.6937,-11.0168, -7.8430
1496203941.4831099510,1496203941.4855060577, -1.0986, -0.0840, -0.3372, -1.6937, -8.0261, -7.8430
1496203941.4855759144,1496203941.4879701138, -1.0986, -0.0840, -0.3372, -1.6937, -8.0261, -7.8430
1496203941.4880399704,1496203941.4904339314, -1.0986, -0.0840, -0.3372, -1.6937, -8.0261, -7.8430
1496203941.4905049801,1496203941.4928801060, -1.0986, -0.0840, -0.3372, -1.6937, -8.0261, -7.8430
1496203941.4929509163,1496203941.4953188896, -1.0986, -0.0928, -0.3579, -1.5869, -8.3466, -7.8735
1496203941.4953880310,1496203941.4977509975, -1.1006, -0.0928, -0.3579, -1.5869, -8.3466, -7.8735
1496203941.4978210926,1496203941.5003099442, -1.1006, -0.0928, -0.3579, -1.5869, -8.3466, -7.8735
1496203941.5003809929,1496203941.5026690960, -1.1006, -0.0928, -0.3579, -1.5869, -8.3466, -7.8735
1496203941.5027399063,1496203941.5050320625, -1.1006, -0.0928, -0.3579, -1.2054, -8.3466, -8.0872
