P_i,P_t,P_v,T_i,T_t,T_v
12121,1496711963.2608394623,-15.396100,12104,1496711963.2188854218,-187.759399
12194,1496711963.4401636124,-53.619400,12129,1496711963.2801449299,-268.814087
12447,1496711964.0624215603,420.120209,12336,1496711963.7892184258,-225.631699
12516,1496711964.2322673798,-20.660400,12499,1496711964.1904153824,-188.995407
12585,1496711964.4016604424,-54.275501,12525,1496711964.2541933060,-265.594513
12844,1496711965.0357139111,413.970886,12732,1496711964.7619259357,-220.428497
12909,1496711965.1953415871,-32.775902,12896,1496711965.1639871597,-173.996002
13012,1496711965.4481062889,-31.066900,12930,1496711965.2472004890,-271.652191
13227,1496711965.9768190384,187.240601,13137,1496711965.7560362816,-151.351898
13644,1496711966.9995288849,82.794197,13296,1496711966.1455683708,-43.899502
14120,1496712018.5101644993,248.352097,14013,1496712018.2475833893,-66.268898
14224,1496712018.7657136917,69.717400,14164,1496712018.6179094315,-118.713402
14292,1496712018.9332094193,17.303499,14279,1496712018.9014015198,-261.734009
14353,1496712019.0824785233,76.263397,14301,1496712018.9550240040,-189.392105
14831,1496712020.2566525936,225.570694,14680,1496712019.8852205276,-75.988800
14942,1496712020.5296020508,40.664700,14878,1496712020.3716299534,-92.941299
15007,1496712020.6894869804,-13.687100,14994,1496712020.6573886871,-265.655487
15071,1496712020.8469223976,66.680901,15020,1496712020.7213494778,-204.513504
15527,1496712021.9690535069,245.559692,15415,1496712021.6930294037,-101.074203
15625,1496712022.2102723122,35.324100,15553,1496712022.0327665806,-119.216904
15703,1496712022.4022860527,2.624500,15694,1496712022.3804504871,-300.750702
15741,1496712022.4957728386,69.732697,15716,1496712022.4345073700,-214.798004
16197,1496712023.6165115833,252.441406,16099,1496712023.3750610352,-108.886703
16288,1496712023.8407595158,63.705399,16232,1496712023.7025074959,-116.790802
16369,1496712024.0407366753,116.439796,16356,1496712024.0088105202,-403.808594
16412,1496712024.1470613480,68.359398,16382,1496712024.0727260113,-211.837799
16894,1496712025.3289923668,229.660004,16779,1496712025.0458340645,-113.235497
16989,1496712025.5628004074,48.446701,16933,1496712025.4245271683,-82.702599
17066,1496712025.7519714832,73.226898,17053,1496712025.7203354836,-303.939789
17105,1496712025.8480596542,83.602898,17079,1496712025.7839019299,-221.572906
18978,1496712032.6994495392,292.343109,18867,1496712032.4252591133,-100.524902
19050,1496712032.8776159286,44.769299,19008,1496712032.7737851143,-145.278900
19175,1496712033.1851234436,-4.821800,19167,1496712033.1651940346,-292.175293
19218,1496712033.2910938263,66.268898,19184,1496712033.2073931694,-242.721603
